project_id,project_type,location,sqft,floors,num_units,planned_duration_weeks,actual_duration_weeks,schedule_delay_pct,estimated_cost_cad,actual_cost_cad,cost_overrun_pct,contractor_rating,complexity_score,team_experience_years,num_change_orders,weather_risk_factor,material_volatility,num_subcontractors,budget_pressure,risk_score,on_budget,on_schedule,data_source
SYN_00014,residential_multi_family,Edmonton,182159.0,3,182,520.0,605.0954676952749,16.37,56174440.3884,53337631.14878581,-5.05,3.5,5,9.4,0,0.52,0.52,18,0.51,53.0,True,False,synthetic_industry_based
SYN_00015,education_school,Victoria,191553.0,1,0,520.0,637.9584824624194,22.69,101698409.35000001,107800313.91100001,6.0,3.7,6,12.8,3,0.27,0.5,14,0.28,44.1,False,False,synthetic_industry_based
SYN_00016,healthcare_hospital,Calgary,591558.0,9,0,520.0,666.7091791961623,28.21,394252028.39,532752765.963407,35.13,3.5,9,8.8,21,0.38,0.54,89,0.17319939418114053,63.2,False,False,synthetic_industry_based
SYN_00017,residential_multi_family,Vancouver,174744.0,14,174,520.0,509.3049645390071,-2.07,64242310.896000005,65880489.82384801,2.55,5.0,6,15.8,3,0.41,0.48,22,0.54,43.0,True,True,synthetic_industry_based
SYN_00018,commercial_office,Edmonton,297462.0,22,0,520.0,638.2878380110213,22.75,106726287.744,124837738.7741568,16.97,3.8,9,9.7,14,0.56,0.85,42,0.5898658484197037,69.4,False,False,synthetic_industry_based
SYN_00019,commercial_office,Winnipeg,73485.0,16,0,316.5,370.6,17.11,36533007.8625,42327142.9094925,15.86,3.1,6,3.4,6,0.5,0.61,8,0.11,55.4,False,False,synthetic_industry_based
SYN_00020,residential_multi_family,Edmonton,145773.0,9,145,520.0,505.3423663198645,-2.82,64087592.1264,65792322.07696224,2.66,5.0,6,15.6,2,0.46,0.48,15,0.31,35.1,True,True,synthetic_industry_based
SYN_00021,education_school,Montreal,51559.0,2,0,324.7,339.3,4.49,23828242.872,23501795.9446536,-1.37,4.1,5,11.2,0,0.49,0.63,13,0.25,43.6,True,True,synthetic_industry_based
SYN_00022,commercial_office,Halifax,331053.0,4,0,520.0,690.3034215622982,32.75,120585840.1772,121056124.95389108,0.39,4.4,7,9.8,7,0.42,0.5,52,0.4456018640442437,56.6,True,False,synthetic_industry_based
SYN_00023,healthcare_hospital,Halifax,910083.0,13,0,520.0,534.678348181326,2.82,494547915.35719997,610371037.1338562,23.42,3.9,9,12.4,27,0.39,0.71,136,0.11559945203362026,58.4,False,True,synthetic_industry_based
SYN_00024,commercial_office,Saskatoon,349885.0,45,0,520.0,552.3726599912931,6.22,150764097.735,159402880.5352155,5.73,4.0,9,11.1,5,0.37,0.49,52,0.18,54.3,False,False,synthetic_industry_based
SYN_00025,education_school,Ottawa,62947.0,3,0,382.8,385.6,0.73,30322329.2964,34233909.7756356,12.9,3.9,5,10.2,5,0.38,0.54,9,0.24,39.2,False,True,synthetic_industry_based
SYN_00026,healthcare_hospital,Victoria,353348.0,5,0,520.0,577.3552394309756,11.03,346629299.41249996,393424254.83318746,13.5,3.4,8,10.8,11,0.26,0.65,50,0.10580836121681995,56.5,False,False,synthetic_industry_based
SYN_00027,renovation_commercial,Saskatoon,46945.0,7,0,250.8,325.4,29.75,6902972.721000001,7657467.639405301,10.93,3.7,4,5.2,6,0.39,0.56,6,0.72,52.5,False,False,synthetic_industry_based
SYN_00028,industrial_warehouse,Ottawa,261530.0,1,0,520.0,535.8898036732108,3.06,34688947.129200004,33613589.7681948,-3.1,4.4,6,18.9,3,0.39,0.4,14,0.79,42.2,True,True,synthetic_industry_based
SYN_00029,residential_single_family,Calgary,1623.0,1,1,20.2,22.1,9.31,410355.451,481182.80184260005,17.26,3.4,3,5.9,4,0.47,0.25,3,0.61,40.8,False,False,synthetic_industry_based
SYN_00030,commercial_office,Ottawa,481795.0,44,0,520.0,617.8113845575804,18.81,293497018.2936,458324943.76728576,56.16,4.0,9,8.3,27,0.37,0.72,71,0.22661761457749355,59.5,False,False,synthetic_industry_based
SYN_00031,commercial_retail,Calgary,90313.0,1,0,520.0,519.0408263649779,-0.19,30868917.783000004,27396164.532412503,-11.25,5.0,5,17.3,4,0.51,0.45,9,0.47,32.7,True,True,synthetic_industry_based
SYN_00032,renovation_commercial,Edmonton,8070.0,9,0,47.5,57.5,20.98,1337958.0,1555242.3791999999,16.24,3.5,4,9.0,7,0.57,0.38,3,0.74,51.6,False,False,synthetic_industry_based
SYN_00033,commercial_office,Ottawa,18052.0,33,0,76.0,85.2,12.16,8965864.695600001,9095869.733686201,1.45,3.7,6,9.6,0,0.36,0.47,4,0.22,44.8,True,False,synthetic_industry_based
SYN_00034,residential_single_family,Edmonton,3829.0,1,3,74.4,67.0,-10.0,1688568.1632,1737874.3535654398,2.92,4.6,3,12.7,3,0.57,0.26,3,0.3,27.4,True,True,synthetic_industry_based
SYN_00035,residential_single_family,Toronto,4077.0,2,4,42.1,52.8,25.32,1416535.146,1631706.8346773998,15.19,2.9,3,7.6,0,0.27,0.27,6,0.54,41.9,False,False,synthetic_industry_based
SYN_00036,commercial_office,Winnipeg,378793.0,21,0,520.0,579.6346940812457,11.47,140195375.2115,185268188.3419972,32.15,4.4,9,4.0,19,0.62,0.65,61,0.5001115011743209,69.2,False,False,synthetic_industry_based
SYN_00037,infrastructure_bridge,Winnipeg,2713.0,0,0,79.6,93.9,18.06,12307681.167,10620298.079004299,-13.71,2.9,5,9.9,0,0.48,0.28,3,0.0,45.0,True,False,synthetic_industry_based
SYN_00038,residential_single_family,Victoria,2948.0,2,2,31.2,30.1,-3.5,839470.575,828893.245755,-1.26,3.5,3,9.0,3,0.17,0.37,3,0.61,38.6,True,True,synthetic_industry_based
SYN_00039,commercial_office,Saskatoon,447638.0,49,0,520.0,500.2434526005164,-3.8,139791543.498,155657883.68502298,11.35,4.7,9,7.9,10,0.48,0.61,69,0.5808072577796045,62.2,False,True,synthetic_industry_based
SYN_00040,commercial_office,Halifax,244839.0,26,0,520.0,594.2368742368743,14.29,98246925.8008,112954490.59317975,14.97,4.7,9,8.9,8,0.34,0.59,35,0.36205844942958026,58.4,False,False,synthetic_industry_based
SYN_00041,commercial_office,Victoria,370016.0,28,0,520.0,487.78007264439856,-6.19,121581075.75,165873061.645725,36.43,4.7,9,13.5,20,0.33,0.74,59,0.7469909852161996,59.2,False,True,synthetic_industry_based
SYN_00042,commercial_office,Halifax,295335.0,44,0,520.0,596.4565337254181,14.7,76551617.0296,68062042.70101735,-11.09,4.6,9,14.9,7,0.32,0.61,47,0.7032442640800423,57.7,True,False,synthetic_industry_based
SYN_00043,commercial_office,Halifax,448899.0,3,0,520.0,567.186410667847,9.07,154582728.8944,217621565.7375363,40.78,3.8,7,11.0,21,0.31,0.6,67,0.4812339110678276,54.3,False,False,synthetic_industry_based
SYN_00044,commercial_office,Calgary,420098.0,5,0,520.0,468.0,-10.0,148444744.437,179840807.8854255,21.15,3.6,7,15.2,16,0.45,0.4,65,0.5681824967207101,50.8,False,True,synthetic_industry_based
SYN_00045,commercial_office,Edmonton,171619.0,10,0,520.0,716.0418598489866,37.7,73984718.98440002,73400239.70442326,-0.79,4.0,7,9.3,4,0.49,0.55,18,0.32,54.2,True,False,synthetic_industry_based
SYN_00046,healthcare_hospital,Vancouver,168082.0,9,0,520.0,630.9249563699825,21.33,260409417.65550002,273377806.65474397,4.98,4.2,8,9.8,5,0.32,0.57,29,0.0,58.1,True,False,synthetic_industry_based
SYN_00047,residential_single_family,Saskatoon,4650.0,1,4,57.5,78.5,36.54,1257841.8,1455322.9626000002,15.7,4.0,3,2.5,4,0.49,0.25,3,0.49,41.8,False,False,synthetic_industry_based
SYN_00048,commercial_office,Ottawa,453704.0,39,0,520.0,608.0148639294691,16.93,141817709.9844,169188528.01138923,19.3,4.5,9,9.1,16,0.45,0.58,64,0.6283404509853434,64.0,False,False,synthetic_industry_based
SYN_00049,industrial_warehouse,Toronto,26431.0,1,0,74.2,66.8,-10.0,5784224.472000001,5789430.2740248,0.09,3.3,3,10.0,3,0.42,0.4,3,0.71,39.6,True,True,synthetic_industry_based
SYN_00050,residential_single_family,Montreal,3945.0,2,3,54.4,55.4,1.89,683918.4450000001,640079.2726755,-6.41,4.4,3,12.1,0,0.49,0.22,3,0.72,33.3,True,True,synthetic_industry_based
SYN_00051,residential_single_family,Halifax,3122.0,1,3,46.4,58.9,26.85,617314.4616,632438.6659092,2.45,3.7,3,8.0,0,0.3,0.23,3,0.63,38.0,True,False,synthetic_industry_based
SYN_00052,healthcare_hospital,Winnipeg,166670.0,6,0,520.0,551.4139439635112,6.04,141933027.9445,142713659.59819475,0.55,4.1,8,11.5,3,0.59,0.67,28,0.0,57.2,True,False,synthetic_industry_based
SYN_00053,commercial_retail,Calgary,41021.0,1,0,354.4,325.3,-8.23,13331450.374000002,16944273.425354,27.1,4.1,3,9.9,7,0.43,0.39,4,0.5,39.3,False,True,synthetic_industry_based
SYN_00054,residential_multi_family,Edmonton,51818.0,19,51,224.6,208.6,-7.12,18775871.441999998,17200575.8280162,-8.39,5.0,5,18.9,0,0.54,0.66,4,0.43,32.4,True,True,synthetic_industry_based
SYN_00055,education_school,Toronto,26579.0,2,0,146.5,131.9,-10.0,18226788.84,17809395.375563998,-2.29,4.7,4,12.7,2,0.35,0.48,3,0.1,29.0,True,True,synthetic_industry_based
SYN_00056,education_school,Winnipeg,155584.0,2,0,520.0,468.0058750423681,-10.0,49532348.889,62480104.8885846,26.14,3.9,6,14.5,7,0.65,0.38,15,0.43,48.2,False,True,synthetic_industry_based
SYN_00057,residential_multi_family,Ottawa,43923.0,2,43,261.5,352.9,34.94,14871902.8428,12721425.69173112,-14.46,3.7,3,8.5,0,0.45,0.6,7,0.47,44.8,True,False,synthetic_industry_based
SYN_00058,residential_multi_family,Vancouver,78981.0,13,78,383.7,373.9,-2.56,46296731.898,53009758.023210004,14.5,4.3,5,9.4,7,0.44,0.62,6,0.26,43.3,False,True,synthetic_industry_based
SYN_00059,residential_multi_family,Calgary,107367.0,10,107,520.0,629.1897233201581,21.0,37816712.769,50281101.29766241,32.96,4.5,6,8.3,13,0.52,0.39,11,0.45,48.8,False,False,synthetic_industry_based
SYN_00060,residential_multi_family,Toronto,86997.0,7,86,386.0,471.1,22.05,47029741.915,64553023.752529,37.26,3.3,5,7.0,13,0.43,0.38,5,0.29,43.2,False,False,synthetic_industry_based
SYN_00061,residential_multi_family,Saskatoon,90187.0,3,90,520.0,520.4790860512254,0.1,18445016.835,25522369.7945895,38.37,3.7,5,8.6,12,0.51,0.44,11,0.61,52.8,False,True,synthetic_industry_based
SYN_00062,residential_multi_family,Halifax,187998.0,6,187,520.0,533.7014549203803,2.64,50182812.2092,67786942.73218736,35.08,3.7,6,11.5,16,0.34,0.36,17,0.51,45.8,False,True,synthetic_industry_based
SYN_00063,residential_multi_family,Halifax,92617.0,8,92,359.5,386.5,7.51,18811634.698400002,17133636.883302722,-8.92,3.3,5,11.5,0,0.3,0.42,9,0.62,44.3,True,False,synthetic_industry_based
SYN_00064,commercial_retail,Toronto,66561.0,2,0,520.0,580.5353111899387,11.65,23695650.744999997,29617193.866175495,24.99,3.9,5,5.5,10,0.32,0.46,5,0.53,44.2,False,False,synthetic_industry_based
SYN_00065,residential_single_family,Halifax,4890.0,1,4,73.6,89.5,21.55,1346352.7388,1225180.9923079999,-9.0,4.6,3,11.6,0,0.25,0.35,3,0.49,28.0,True,False,synthetic_industry_based
SYN_00066,commercial_office,Saskatoon,363760.0,44,0,520.0,608.9566212420681,17.11,118435617.774,127815718.70170079,7.92,4.3,9,8.3,10,0.45,0.66,51,0.5104242242959538,63.6,False,False,synthetic_industry_based
SYN_00067,residential_single_family,Toronto,2727.0,1,2,37.2,45.2,21.32,1015824.667,1001704.7041287,-1.39,4.4,3,8.6,0,0.35,0.29,3,0.51,34.4,True,False,synthetic_industry_based
SYN_00068,education_school,Vancouver,62049.0,1,0,424.4,384.4,-9.43,35582811.327,43446612.630267,22.1,4.0,5,12.3,12,0.36,0.45,7,0.28,38.3,False,True,synthetic_industry_based
SYN_00069,commercial_office,Vancouver,87682.0,4,0,520.0,542.2647887323943,4.29,45155888.329500005,46781500.30936201,3.6,3.9,6,12.7,3,0.44,0.52,9,0.35,44.2,True,True,synthetic_industry_based
SYN_00070,commercial_retail,Winnipeg,88611.0,1,0,520.0,657.3317430567388,26.4,18563530.9265,21162425.256210003,14.0,3.7,5,6.4,5,0.63,0.56,7,0.62,52.4,False,False,synthetic_industry_based
SYN_00071,commercial_office,Ottawa,50286.0,41,0,183.7,189.9,3.42,19568583.0828,20169338.58344196,3.07,5.0,7,11.4,2,0.33,0.61,7,0.39,42.2,True,True,synthetic_industry_based
SYN_00072,residential_multi_family,Ottawa,19269.0,19,19,86.4,92.5,7.08,4813740.7164,5738941.68209208,19.22,3.8,4,5.5,5,0.37,0.24,3,0.61,42.0,False,False,synthetic_industry_based
SYN_00073,education_school,Toronto,178153.0,3,0,520.0,713.9373079287031,37.3,124647132.57100001,169694606.28215942,36.14,4.8,6,6.8,14,0.33,0.39,17,0.08,41.2,False,False,synthetic_industry_based
SYN_00074,renovation_commercial,Victoria,7778.0,7,0,46.1,50.1,8.67,968126.775,898324.8345224999,-7.21,2.6,4,8.9,4,0.22,0.46,5,0.83,53.8,True,False,synthetic_industry_based
SYN_00075,commercial_office,Halifax,133603.0,24,0,418.6,500.7,19.6,56053678.442,70352971.81255421,25.51,4.7,7,11.8,9,0.41,0.67,16,0.3724756431632238,45.3,False,False,synthetic_industry_based
SYN_00076,residential_multi_family,Toronto,156487.0,18,156,520.0,685.6752136752136,31.87,72878101.67300001,94333414.8055312,29.44,4.3,6,7.7,12,0.35,0.54,8,0.39,45.6,False,False,synthetic_industry_based
SYN_00077,residential_multi_family,Calgary,57977.0,3,57,451.8,537.6,18.99,17809023.430000003,21548918.350300003,21.0,3.4,4,7.1,7,0.46,0.54,4,0.52,46.2,False,False,synthetic_industry_based
SYN_00078,residential_single_family,Ottawa,4656.0,1,4,57.7,55.9,-3.12,1406671.0992,1342526.89707648,-4.56,4.2,3,14.1,0,0.47,0.18,3,0.52,30.5,True,True,synthetic_industry_based
SYN_00079,education_school,Halifax,48664.0,1,0,300.2,372.8,24.18,20540182.6968,24681083.528474882,20.16,2.5,4,8.4,8,0.41,0.65,3,0.22,46.9,False,False,synthetic_industry_based
SYN_00080,commercial_office,Montreal,218001.0,38,0,520.0,487.15789473684214,-6.31,72408151.83,77404314.30626999,6.9,4.5,9,7.4,6,0.33,0.61,33,0.6031945018642116,62.3,False,True,synthetic_industry_based
SYN_00081,industrial_warehouse,Victoria,431460.0,1,0,520.0,557.8214408824542,7.26,101076117.9625,104654212.53837252,3.54,4.6,6,13.6,11,0.29,0.58,27,0.68,50.5,True,False,synthetic_industry_based
SYN_00082,commercial_office,Vancouver,166598.0,2,0,520.0,497.5492063492064,-4.33,103687638.94800001,121065687.23568481,16.76,5.0,6,9.9,10,0.34,0.8,21,0.21,52.6,False,True,synthetic_industry_based
SYN_00083,residential_single_family,Calgary,4606.0,1,4,44.1,52.0,17.81,1846790.9570000002,2032208.7690828003,10.04,3.2,3,6.8,5,0.41,0.31,3,0.38,38.1,False,False,synthetic_industry_based
SYN_00084,residential_single_family,Saskatoon,2867.0,2,2,32.8,32.0,-2.48,435892.41000000003,396880.03930500004,-8.95,3.8,3,18.6,0,0.36,0.18,3,0.71,28.8,True,True,synthetic_industry_based
SYN_00085,residential_single_family,Edmonton,3933.0,2,3,52.6,59.2,12.51,1002263.2416000001,1374704.26217856,37.16,3.2,3,3.4,13,0.5,0.05,6,0.6,46.7,False,False,synthetic_industry_based
SYN_00086,commercial_retail,Montreal,51475.0,2,0,351.1,426.4,21.47,15256256.7885,18083241.171409052,18.53,4.0,4,4.8,8,0.37,0.5,9,0.52,49.5,False,False,synthetic_industry_based
SYN_00087,residential_single_family,Vancouver,3600.0,1,3,55.3,59.2,7.12,1262552.6835,1260785.1097431001,-0.14,4.1,3,6.4,0,0.3,0.33,3,0.56,36.3,True,False,synthetic_industry_based
SYN_00088,residential_multi_family,Halifax,120089.0,3,120,520.0,596.060606060606,14.62,24980048.048800003,21233040.84148,-15.0,4.1,5,10.0,1,0.39,0.44,6,0.61,42.0,True,False,synthetic_industry_based
SYN_00089,residential_single_family,Saskatoon,2905.0,2,2,36.6,51.0,39.25,754109.145,815946.0948900001,8.2,3.8,3,11.0,0,0.5,0.31,3,0.51,33.6,False,False,synthetic_industry_based
SYN_00090,education_school,Edmonton,57051.0,1,0,430.9,417.2,-3.17,18183367.728000004,17276017.678372804,-4.99,4.2,5,8.6,2,0.45,0.54,11,0.5,50.6,True,True,synthetic_industry_based
SYN_00091,residential_single_family,Saskatoon,2710.0,2,2,23.0,33.6,46.01,809907.3180000001,688421.2203,-15.0,4.4,3,10.7,1,0.36,0.4,3,0.43,29.4,True,False,synthetic_industry_based
SYN_00092,residential_single_family,Montreal,3878.0,2,3,41.8,42.6,1.79,1188521.1239999998,1203734.1943871998,1.28,3.8,3,13.8,3,0.47,0.28,3,0.5,32.8,True,True,synthetic_industry_based
SYN_00093,industrial_warehouse,Halifax,399800.0,1,0,520.0,556.3888605528921,7.0,67762718.47760001,66529437.00130769,-1.82,4.2,6,12.0,7,0.25,0.5,26,0.69,51.1,True,False,synthetic_industry_based
SYN_00094,residential_multi_family,Victoria,27192.0,10,27,155.3,163.7,5.4,8918476.0625,11191795.61083125,25.49,3.3,4,9.0,9,0.34,0.38,5,0.55,44.2,False,False,synthetic_industry_based
SYN_00095,residential_single_family,Toronto,2593.0,1,2,31.9,32.4,1.68,1014697.931,1068375.4515499,5.29,3.1,3,13.1,3,0.38,0.3,3,0.49,34.8,False,True,synthetic_industry_based
SYN_00096,commercial_office,Calgary,273470.0,8,0,520.0,512.8550308722497,-1.38,120247571.158,102210435.4843,-15.0,4.8,8,19.0,3,0.41,0.6,46,0.32,47.7,True,True,synthetic_industry_based
SYN_00097,renovation_commercial,Ottawa,23599.0,7,0,69.0,72.9,5.59,6281242.8588000005,6232877.28878724,-0.77,4.0,4,8.6,0,0.35,0.25,3,0.58,43.7,True,False,synthetic_industry_based
SYN_00098,residential_multi_family,Calgary,120377.0,11,120,520.0,468.5530366638679,-9.9,43971747.74300001,45633879.80768541,3.78,5.0,6,16.4,2,0.35,0.45,13,0.43,35.4,True,True,synthetic_industry_based
SYN_00099,residential_single_family,Halifax,4859.0,2,4,76.7,80.4,4.82,834129.7208,1075276.62308328,28.91,3.7,3,8.7,9,0.3,0.32,3,0.68,39.6,False,True,synthetic_industry_based
SYN_00100,residential_multi_family,Saskatoon,181004.0,17,181,520.0,498.8851513695339,-4.07,46062345.78,50171107.023576,8.92,3.9,6,8.5,4,0.38,0.42,19,0.52,51.2,False,True,synthetic_industry_based
SYN_00101,education_school,Winnipeg,116364.0,2,0,520.0,471.1689097232724,-9.38,29443408.529499996,36960310.72708135,25.53,4.1,6,13.2,9,0.57,0.45,12,0.55,49.0,False,True,synthetic_industry_based
SYN_00102,industrial_warehouse,Toronto,17752.0,1,0,52.5,49.1,-6.39,3420000.779,4332456.9868372,26.68,3.6,3,10.6,11,0.28,0.48,3,0.75,38.4,False,True,synthetic_industry_based
SYN_00103,residential_single_family,Victoria,3545.0,1,3,34.7,44.1,26.92,1265357.4625,1416441.1435224998,11.94,3.1,3,3.4,3,0.26,0.39,3,0.51,44.8,False,False,synthetic_industry_based
SYN_00104,residential_single_family,Vancouver,2579.0,1,2,33.1,39.4,18.95,1217743.1055,1249647.9748641,2.62,3.8,3,8.3,1,0.37,0.2,4,0.4,34.5,True,False,synthetic_industry_based
SYN_00105,industrial_warehouse,Toronto,157418.0,1,0,350.3,380.4,8.61,48156198.453999996,60493816.49791479,25.62,4.2,4,8.9,10,0.31,0.59,16,0.6,47.2,False,False,synthetic_industry_based
SYN_00106,industrial_warehouse,Toronto,308158.0,1,0,520.0,529.6776669224865,1.87,65037529.673999995,62611629.817159794,-3.73,5.0,6,15.0,4,0.26,0.56,21,0.72,44.0,True,True,synthetic_industry_based
SYN_00107,residential_multi_family,Winnipeg,189054.0,19,189,520.0,677.2556535070908,30.24,51340086.6085,55534571.684414454,8.17,4.4,6,8.4,7,0.46,0.49,17,0.51,50.6,False,False,synthetic_industry_based
SYN_00108,residential_single_family,Winnipeg,2358.0,1,2,21.3,26.9,26.17,484818.00299999997,585223.8114212999,20.71,3.6,3,6.0,7,0.46,0.23,3,0.63,40.0,False,False,synthetic_industry_based
SYN_00109,commercial_office,Edmonton,415520.0,3,0,520.0,490.1833795509437,-5.74,245577703.1328,263996030.86776,7.5,4.3,7,14.7,12,0.55,0.57,63,0.1991229140198042,50.0,False,True,synthetic_industry_based
SYN_00110,residential_single_family,Edmonton,1201.0,1,1,17.1,18.7,9.59,362122.8876,435923.53209288,20.38,2.5,3,10.6,9,0.46,0.32,3,0.52,38.6,False,False,synthetic_industry_based
SYN_00111,residential_single_family,Calgary,1876.0,2,1,24.6,36.2,46.8,398964.24700000003,500141.5800392001,25.36,3.5,3,3.7,7,0.51,0.22,3,0.67,46.4,False,False,synthetic_industry_based
SYN_00112,residential_multi_family,Calgary,79874.0,15,79,396.8,415.6,4.73,22981430.978000004,21995527.589043804,-4.29,4.5,5,8.7,3,0.44,0.61,11,0.55,49.8,True,True,synthetic_industry_based
SYN_00113,healthcare_hospital,Ottawa,238913.0,6,0,520.0,617.0810983908415,18.67,238938264.5904,255592261.63235092,6.97,5.0,9,6.3,4,0.39,0.79,35,0.0,59.8,False,False,synthetic_industry_based
SYN_00114,residential_multi_family,Edmonton,84555.0,11,84,520.0,535.5006587615283,2.97,35706610.4148,36063676.518948,1.0,4.4,6,10.9,6,0.5,0.5,4,0.33,38.4,True,True,synthetic_industry_based
SYN_00115,commercial_retail,Edmonton,64394.0,1,0,410.1,490.8,19.66,20646060.796800002,24426354.528694082,18.31,3.7,4,11.1,5,0.54,0.61,3,0.49,41.1,False,False,synthetic_industry_based
SYN_00116,renovation_commercial,Ottawa,41822.0,4,0,237.3,258.4,8.9,7072225.862400001,7059495.855847681,-0.18,3.9,3,14.3,2,0.35,0.46,3,0.73,41.4,True,False,synthetic_industry_based
SYN_00117,industrial_warehouse,Victoria,488236.0,1,0,520.0,627.8733031674207,20.75,106124205.08749999,107259734.08193624,1.07,3.8,6,9.5,7,0.17,0.43,31,0.7,56.3,True,False,synthetic_industry_based
SYN_00118,infrastructure_bridge,Vancouver,815.0,0,0,27.4,29.4,7.28,4752909.846,5203010.4084161995,9.47,4.1,5,8.0,2,0.36,0.41,3,0.0,40.3,False,False,synthetic_industry_based
SYN_00119,commercial_retail,Winnipeg,88168.0,2,0,506.1,596.8,17.92,23641851.002499998,27270875.131383747,15.35,3.9,5,9.2,9,0.52,0.66,11,0.52,53.0,False,False,synthetic_industry_based
SYN_00120,residential_multi_family,Vancouver,30509.0,16,30,222.0,257.4,15.96,11358117.513000002,11358117.513000002,-0.0,4.6,4,14.4,0,0.34,0.7,8,0.53,39.0,True,False,synthetic_industry_based
SYN_00121,commercial_retail,Ottawa,17687.0,2,0,139.3,149.0,6.95,4413502.4472,4222839.14148096,-4.32,3.4,3,9.1,4,0.43,0.43,3,0.61,44.2,True,False,synthetic_industry_based
SYN_00122,commercial_retail,Vancouver,36828.0,1,0,243.8,297.0,21.82,13354803.882000001,16988646.0182922,27.21,4.2,3,8.3,9,0.35,0.59,4,0.54,40.7,False,False,synthetic_industry_based
SYN_00123,residential_multi_family,Halifax,105390.0,5,105,520.0,522.7761094427761,0.54,26799024.061600003,33520219.29624928,25.08,3.6,5,7.8,12,0.37,0.53,8,0.53,48.6,False,True,synthetic_industry_based
SYN_00124,commercial_office,Calgary,37103.0,16,0,181.4,185.6,2.29,13554654.212000001,17823014.8233588,31.49,4.4,5,6.2,12,0.46,0.69,5,0.43,46.4,False,True,synthetic_industry_based
SYN_00125,commercial_office,Montreal,65576.0,49,0,192.9,180.7,-6.29,24932271.966000002,27874280.057988003,11.8,5.0,7,11.6,6,0.45,0.59,5,0.541185289472238,41.1,False,True,synthetic_industry_based
SYN_00126,residential_multi_family,Winnipeg,118656.0,17,118,520.0,573.3436484604673,10.26,27202420.925499998,31511284.400099196,15.84,3.8,6,12.9,4,0.59,0.58,8,0.59,48.4,False,False,synthetic_industry_based
SYN_00127,residential_multi_family,Calgary,81614.0,6,81,415.4,394.6,-4.99,27868335.495,28768482.7314885,3.23,3.9,5,15.1,1,0.46,0.39,10,0.47,36.0,True,True,synthetic_industry_based
